M1_TOA_us, M1_STE     , M1_ZCR, M1_PEAK, M2_TOA_us, M2_STE    , M2_ZCR, M2_PEAK, Lokasi
725561224, 2690.69    , 0.08  , 110    , 725560708, 2416.11   , 0.0   , 77     , Dekat Mic2
726060418, 94201.82   , 0.02  , 570    , 726066539, 1704.51   , 0.04  , 84     , Dekat Mic1
726561392, 4363.53    , 0.07  , 163    , 726562397, 2831.84   , 0.03  , 93     , Dekat Mic1
727060035, 945.42     , 0.13  , 72     , 727057019, 2503.36   , 0.0   , 85     , Dekat Mic2
727558199, 323458.47  , 0.0   , 1191   , 727559059, 5369.84   , 0.07  , 132    , Dekat Mic1
728057390, 2676.4     , 0.06  , 142    , 728065065, 1707.11   , 0.15  , 84     , Dekat Mic1
728566886, 582.79     , 0.18  , 62     , 728566706, 905.78    , 0.06  , 70     , Dekat Mic2
729062122, 127497744.0, 0.01  , 19927  , 729057110, 3478700.0 , 0.01  , 4686   , Dekat Mic2
729562372, 1424.34    , 0.1   , 92     , 729564223, 1593.41   , 0.05  , 78     , Dekat Mic1
730064355, 3632.83    , 0.06  , 128    , 730059548, 1878.77   , 0.0   , 82     , Dekat Mic2
730559692, 1603.6     , 0.04  , 80     , 730560548, 1450.58   , 0.0   , 73     , Dekat Mic1
731058422, 5638648.0  , 0.0   , 4687   , 731061877, 56440.52  , 0.02  , 405    , Dekat Mic1
731565801, 5566.68    , 0.04  , 171    , 731566206, 3973.06   , 0.0   , 92     , Dekat Mic1
732064338, 3876.18    , 0.05  , 136    , 732066285, 693.28    , 0.07  , 68     , Dekat Mic1
732563992, 2532.94    , 0.11  , 121    , 732566665, 648.59    , 0.04  , 53     , Dekat Mic1
733067351, 2884.0     , 0.06  , 112    , 733058378, 1449.61   , 0.01  , 72     , Dekat Mic2
733558526, 327609.0   , 0.01  , 827    , 733560918, 2259.18   , 0.05  , 91     , Dekat Mic1
734065092, 1687.69    , 0.1   , 105    , 734056726, 1876.65   , 0.04  , 78     , Dekat Mic2
734567694, 3047.01    , 0.03  , 117    , 734558575, 1430.58   , 0.09  , 83     , Dekat Mic2
735057121, 1853092.12 , 0.0   , 2582   , 735058047, 24242.73  , 0.02  , 410    , Dekat Mic1
735562022, 2067.29    , 0.06  , 91     , 735558458, 716.91    , 0.1   , 58     , Dekat Mic2
736058808, 6915.08    , 0.03  , 153    , 736056480, 2422.86   , 0.0   , 105    , Dekat Mic2
736563928, 1122.33    , 0.1   , 89     , 736559517, 3157.5    , 0.0   , 91     , Dekat Mic2
737058022, 34596.2    , 0.0   , 300    , 737063653, 263.79    , 0.23  , 46     , Dekat Mic1
737565557, 7811.61    , 0.03  , 171    , 737561439, 1301.18   , 0.06  , 74     , Dekat Mic2
738057564, 1860.62    , 0.17  , 119    , 738057436, 2052.74   , 0.0   , 91     , Dekat Mic2
738560258, 1023.94    , 0.15  , 82     , 738565277, 3160.9    , 0.0   , 88     , Dekat Mic1
739057429, 2290.18    , 0.06  , 114    , 739057302, 816.38    , 0.02  , 61     , Dekat Mic2
739564467, 444.82     , 0.26  , 66     , 739559776, 3431.36   , 0.0   , 94     , Dekat Mic2
740061064, 860.7      , 0.09  , 66     , 740057824, 3224.51   , 0.0   , 99     , Dekat Mic2
740557868, 6503631.0  , 0.0   , 4779   , 740556638, 42590.35  , 0.01  , 346    , Dekat Mic2
741058686, 7000.7     , 0.01  , 146    , 741065008, 3711.51   , 0.02  , 98     , Dekat Mic1
741561288, 1427.96    , 0.08  , 88     , 741558888, 2401.41   , 0.0   , 91     , Dekat Mic2
742065909, 2408.38    , 0.06  , 111    , 742060445, 1451.84   , 0.04  , 74     , Dekat Mic2
742558509, 70958.19   , 0.03  , 616    , 742564083, 8781.24   , 0.04  , 187    , Dekat Mic1
743067850, 1139.33    , 0.09  , 77     , 743058918, 1422.91   , 0.05  , 75     , Dekat Mic2
743567352, 1116.37    , 0.11  , 80     , 743556600, 398.58    , 0.09  , 54     , Dekat Mic2
744056938, 1128.62    , 0.1   , 84     , 744058493, 2171.46   , 0.0   , 78     , Dekat Mic1
744562991, 469.1      , 0.2   , 64     , 744556082, 1316.17   , 0.0   , 69     , Dekat Mic2
745064939, 1345.02    , 0.15  , 106    , 745060935, 3009.86   , 0.0   , 95     , Dekat Mic2
745561853, 2819.65    , 0.02  , 100    , 745566682, 1474.36   , 0.05  , 78     , Dekat Mic1
746057556, 612732.94  , 0.04  , 1462   , 746056960, 7620.5    , 0.05  , 216    , Dekat Mic2
746559255, 1514.73    , 0.14  , 87     , 746556400, 1288.55   , 0.0   , 67     , Dekat Mic2
747057964, 7277.89    , 0.12  , 184    , 747060244, 3032.21   , 0.0   , 84     , Dekat Mic1
747565867, 36130436.0 , 0.01  , 15651  , 747564814, 1720950.5 , 0.01  , 3207   , Dekat Mic2
748063725, 1382.25    , 0.11  , 84     , 748064244, 3998.29   , 0.0   , 104    , Dekat Mic1
748565945, 1236.88    , 0.09  , 91     , 748556218, 2248.34   , 0.0   , 83     , Dekat Mic2
749060200, 966.52     , 0.09  , 73     , 749064735, 3326.65   , 0.06  , 101    , Dekat Mic1
749567228, 2109.1     , 0.07  , 139    , 749559096, 595.14    , 0.08  , 60     , Dekat Mic2
750058631, 1138.6     , 0.13  , 91     , 750064365, 3671.65   , 0.0   , 91     , Dekat Mic1
750566731, 4482.95    , 0.08  , 168    , 750559382, 4528.26   , 0.0   , 95     , Dekat Mic2
751059997, 91100.32   , 0.01  , 515    , 751066954, 593.72    , 0.17  , 64     , Dekat Mic1
751565044, 1661.37    , 0.13  , 98     , 751562580, 1723.14   , 0.06  , 76     , Dekat Mic2
752058137, 1029.51    , 0.11  , 88     , 752060557, 1026.23   , 0.02  , 65     , Dekat Mic1
752560645, 636091.31  , 0.01  , 1924   , 752565985, 36786.32  , 0.01  , 336    , Dekat Mic1
753062866, 4011.93    , 0.04  , 124    , 753066747, 1471.71   , 0.03  , 77     , Dekat Mic1
753564623, 2433.04    , 0.13  , 135    , 753557369, 580.22    , 0.02  , 52     , Dekat Mic2
754059859, 4596.13    , 0.04  , 138    , 754066872, 813.46    , 0.07  , 56     , Dekat Mic1
754566680, 300606.34  , 0.0   , 797    , 754558587, 4014.15   , 0.02  , 104    , Dekat Mic2
755060367, 1317.62    , 0.12  , 85     , 755059456, 2699.09   , 0.0   , 83     , Dekat Mic2
755564357, 6789.47    , 0.04  , 149    , 755556685, 1117.52   , 0.05  , 90     , Dekat Mic2
756062490, 4192.1     , 0.04  , 149    , 756057102, 1090.43   , 0.04  , 70     , Dekat Mic2
